Name,Salary,#,Make,Team,Crew Chief,Car Stats,CC Stats,Win,Top 3,Laps,Rk,Diff,3 Lap,5 Lap,10 Lap,15 Lap,Laps,Rk,Diff,5 Lap,10 Lap,15 Lap,20 Lap,Own %,Start,Fin,Lead,Fast,FP,Value,Own %,Driver Rating,Start,Fin,Lead Laps,Fast Laps,Laps Ran,Avg Run Pos,Avg Pos Stg1,Avg Pos Stg2,Avg Pos Stg3,Por,CotA,Cha,WG,Ind,RA,Por,CotA,Cha,Ind,WG,Roa,CotA,Day,22,21,20,19,18,17,16,15,14,13,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,% of Laps Fin,Lead Lap Fin %,Fin <2 Laps Behind,Fin <5 Laps Behind,Fin<10 Laps Behind,Races,Top 35,Top 30,Top 25,Top 20,Top 15,Top 10,Top 5,Wins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Retzlaff,5600,31,Chevy,,Joshua Graham,Link,Link,1000,,13,18,-2.08,22,29,27,,,,,,,,,10%,16,19,0,0,#REF!,,,,,,,,,,,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0%,61.3,21.5,17.0,0.0,0.0,2,0,0%,61.3,21.5,17.0,0.0,0.0,8,0,0%,62.7,22.3,18.6,0.0,0.1,100%,100%,100%,100%,100%,2,100%,100%,100%,100%,0%,0%,0%,0
Kyle Weatherman,5500,08,Ford,,Jason Miller,Link,Link,1000,,8,28,-2.80,28,23,,,,,,,,,,6%,18,21,0,0,#REF!,,,,,,,,,,,,,,22,,22,30,,,,23,16,34,,,16,,,,,,,,,,,,,,,,,,,3,0,0%,48.8,24.0,24.7,0.0,0.0,12,1,8%,55.2,22.9,22.0,0.0,0.4,8,2,25%,36.8,32.3,30.0,0.1,1.4,93%,83%,83%,83%,92%,12,92%,83%,67%,33%,8%,0%,0%,0
Josh Bilicki,5400,36,Chevy,,Dexter Bean,Link,Link,1000,,12,17,-1.98,21,22,17,,,,,,,,,21%,25,22,0,0,#REF!,,,,,,,,,,,,,,28,34,17,,13,,35,38,25,24,29,,,,,,,,,,,,,,,,,,,,,5,0,0%,57.3,22.8,25.4,0.0,0.0,25,6,24%,58.8,21.6,21.9,0.5,0.1,0,0,,,,,,,91%,60%,60%,60%,84%,25,92%,80%,52%,36%,16%,0%,0%,0
Josh Williams,5200,92,Chevy,,Bryan Berry,Link,Link,1000,,11,36,-3.70,34,28,30,,,,,,,,,3%,22,23,0,0,#REF!,,,,,,,,,,,,,16,,37,,,17,22,,11,15,14,17,,17,,,,,,,,,,,,,,,,,,,4,1,25%,49.0,26.0,18.3,0.0,0.0,18,2,11%,59.8,21.4,18.2,0.1,0.2,8,0,0%,51.1,24.8,22.1,0.0,0.0,94%,78%,78%,83%,89%,18,94%,83%,83%,61%,28%,6%,0%,0
Jeffrey Earnhardt,5100,45,Chevy,,Gene Nead,Link,Link,1000,,11,41,-5.16,41,38,33,,,,,,,,,4%,35,31,0,0,#REF!,,,,,,,,,,,,,19,25,,,,,,,20,,25,,,30,,,,,,,,,,,,,,,,,,,2,0,0%,44.2,27.5,22.0,0.0,0.0,15,4,27%,50.5,25.2,22.6,0.0,0.0,8,0,0%,46.2,26.8,24.6,0.0,0.0,90%,53%,53%,67%,87%,15,93%,73%,53%,27%,7%,0%,0%,0
Blaine Perkins,5000,02,Chevy,,Dan Stillman,Link,Link,1000,,6,34,-3.32,35,32,,,,,,,,,,10%,36,29,0,0,#REF!,,,,,,,,,,,,,15,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0%,52.2,24.0,22.0,0.0,0.0,2,0,0%,52.2,24.0,22.0,0.0,0.0,8,2,25%,60.2,21.3,20.2,0.3,0.0,99%,50%,50%,100%,100%,2,100%,100%,50%,50%,50%,0%,0%,0
Joe Graf Jr,4900,38,Ford,,Steve Addington,Link,Link,1000,,13,39,-4.00,39,35,31,,,,,,,,,5%,38,32,0,0,#REF!,,,,,,,,,,,,,23,30,27,,,36,21,34,28,,30,,,20,,,,,,,,,,,,,,,,,,,6,1,17%,38.1,29.0,27.0,0.0,0.0,14,1,7%,40.3,28.6,25.8,0.0,0.0,8,1,13%,54.1,22.6,21.6,0.0,0.0,95%,64%,64%,93%,100%,14,93%,86%,36%,14%,7%,0%,0%,0
Mason Filippi,4800,66,Ford,,Lee Leslie,Link,Link,1000,,12,40,-4.17,40,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0%,40.5,31.0,25.0,0.0,0.0,1,0,0%,40.5,31.0,25.0,0.0,0.0,3,0,0%,32.9,31.0,31.0,0.0,0.0,96%,0%,0%,0%,100%,1,100%,100%,100%,0%,0%,0%,0%,0
Brennan Poole,4700,6,Chevy,,Kase Kallenbach,Link,Link,1000,,10,35,-3.42,36,33,28,,,,,,,,,,,,,,,,,,,,,,,,,,,38,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100%,,,,,,8,2,25%,85.8,13.2,13.2,0.3,0.3,8,0,0%,41.0,29.8,28.4,0.0,0.0,85%,63%,63%,75%,75%,8,88%,63%,63%,63%,50%,50%,13%,0
Brad Perez,4600,53,Chevy,,Paul Clapprood,Link,Link,1000,,11,25,-2.31,27,25,20,,,,,,,,,19%,31,29,0,0,#REF!,,,,,,,,,,,,,,29,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0%,40.2,27.7,24.0,0.0,0.0,3,0,0%,40.2,27.7,24.0,0.0,0.0,7,0,0%,33.7,31.9,30.6,0.0,0.0,100%,100%,100%,100%,100%,3,100%,100%,67%,33%,0%,0%,0%,0
Leland Honeyman,4500,35,Toyota,,Wayne Carroll,Link,Link,1000,,15,37,-3.95,37,36,29,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0%,47.0,25.0,28.0,0.0,0.0,1,0,0%,47.0,25.0,28.0,0.0,0.0,8,1,13%,40.2,29.6,26.9,0.1,0.5,99%,0%,0%,100%,100%,1,100%,100%,0%,0%,0%,0%,0%,0
